year,week,id,team,opp,q1,q2,q3,final,spread,OU,imp_tot,ABCD,AABC,AABB,AAAB,AAAA
1979,8,197910210sfo,sfo,atl,7,7,14,20,4.0,42.0,19.0,false,true,false,false,false
1979,8,197910210tam,gnb,tam,0,0,3,3,5.0,37.0,16.0,false,false,true,false,false
1979,8,197910210tam,tam,gnb,7,14,14,21,-5.0,37.0,21.0,false,true,false,false,false
1979,8,197910210was,phi,was,0,0,0,7,-2.0,38.0,20.0,false,false,false,true,false
1979,8,197910210was,was,phi,0,7,14,17,2.0,38.0,18.0,false,true,false,false,false
1979,8,197910220pit,den,pit,7,7,7,7,7.0,37.0,15.0,false,false,false,false,true
1979,8,197910220pit,pit,den,7,28,28,42,-7.0,37.0,22.0,false,true,false,false,false
1979,9,197910250rai,sdg,rai,0,6,22,22,-1.0,41.0,21.0,false,true,false,false,false
1979,9,197910250rai,rai,sdg,14,24,31,45,1.0,41.0,20.0,false,true,false,false,false
1979,9,197910280cin,phi,cin,3,3,6,13,3.0,38.0,17.5,false,false,false,true,false
1979,9,197910280cin,cin,phi,17,24,34,37,-3.0,38.0,20.5,false,false,true,false,false
1979,9,197910280clt,nwe,clt,13,13,19,26,-4.0,37.0,20.5,false,true,false,false,false
1979,9,197910280clt,clt,nwe,14,17,24,31,4.0,37.0,16.5,false,true,false,false,false
1979,9,197910280crd,cle,crd,10,10,17,38,3.0,42.0,19.5,false,true,false,false,false
1979,9,197910280crd,crd,cle,6,13,13,20,-3.0,42.0,22.5,false,true,false,false,false
1979,9,197910280den,kan,den,0,0,3,3,7.0,34.0,13.5,false,false,true,false,false
1979,9,197910280den,den,kan,7,14,20,20,-7.0,34.0,20.5,false,true,false,false,false
1979,9,197910280det,buf,det,0,0,6,20,-3.0,38.0,20.5,false,false,false,true,false
1979,9,197910280det,det,buf,14,14,17,17,3.0,38.0,17.5,false,false,true,false,false
1979,9,197910280mia,gnb,mia,0,0,7,7,11.0,36.0,12.5,false,false,true,false,false
1979,9,197910280mia,mia,gnb,0,13,27,27,-11.0,36.0,23.5,false,true,false,false,false
1979,9,197910280min,tam,min,3,3,6,12,0.0,37.0,18.5,false,true,false,false,false
1979,9,197910280min,min,tam,0,10,10,10,0.0,37.0,18.5,false,false,false,false,true
1979,9,197910280oti,nyj,oti,7,10,10,24,6.0,42.0,18.0,false,true,false,false,false
1979,9,197910280oti,oti,nyj,0,17,24,27,-6.0,42.0,24.0,false,true,false,false,false
1979,9,197910280pit,dal,pit,0,3,3,3,3.0,39.0,18.0,false,false,false,true,false
1979,9,197910280pit,pit,dal,0,7,14,14,-3.0,39.0,21.0,false,true,false,false,false
1979,9,197910280ram,nyg,ram,3,10,13,20,6.0,37.0,15.5,false,false,true,false,false
1979,9,197910280ram,ram,nyg,0,0,7,14,-6.0,37.0,21.5,false,true,false,false,false
1979,9,197910280sfo,chi,sfo,7,14,21,28,-3.0,39.0,21.0,true,false,false,false,false
1979,9,197910280sfo,sfo,chi,3,17,20,27,3.0,39.0,18.0,false,true,false,false,false
1979,9,197910280was,nor,was,7,14,14,14,6.0,40.0,17.0,false,false,false,true,false
1979,9,197910280was,was,nor,3,10,10,10,-6.0,40.0,23.0,false,false,false,true,false
